Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,-0.0004631985370691429,0.0002686189714467118,13.33484783328607,113.0228525449188,-1.450891607046246,-0.00198453743118474,0.0002591140166692143,-0.003336402417315779,30.06733807,4774109.518,168.781,733.025375055,168.7809999999999,0,0,-2.532107282799304,0.02038199733750495,15.03866234993751,-9.505292115938548,-2.162344239050273,-11.77079712976528,-2.532308028780363,7.126570088538829e-06,-17.16610306314819,168.781,-9.720797132947284e-15,1.577721810442024e-30,-89.90659677416622,723.0601140924907,-80.16904477307123,147.9701831675114,-12.83647593954026,-80.16904477307122,-158.6022602288664,-57.72650181064966,-9.369227615962924e-15, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4000.0172172599,3999.9999999945,-2.34321066405244e-16,3.320759082453676e-15,200,-0.1736481776669302,-2.818375010831667e-17,-7.045937527079168e-18,0.984807753012208,0.08507083308851379,0.9649417595131533,-0.01757342844509268,-0.2476722203194599,0.08507083308851379,0.9649417595131533,-0.01757342844509269,-0.2476722203194599,5.3558635737475e-31,-3.2999013468385e-15,59.4692,59.637292171267,17.9133,10091675.59798537,3262109.551778567,17982985.51980332,10091675.59798537,3262109.551778567,17982985.51980332,0,3999.9999999945,3.2462303222445e-09,3.4936585,0.863370631,3.50060655,22312813,200.584755,3.50060655,0.00694804603,0,1,0.00694804603,0,4.08967412e-18,1.22690223e-16,0.348,0,1.22690223e-16,3.06725559e-16,9.02131449e-17,0,0,0,-1,-2.04483706e-16,0,200.014732,-200.014732,360,30,0.5235,0.00108835324,0.00108835324,0,0,0,-100,-0.414936106,-0.0385890079,-0.0385890079,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,0,0,-0,0,130,130,59.4691990504261554,17.9133013434627095,20877525.0938271545,-0.00198453743118474045
0.0999996,1.80196482135772,8.376620968499182,0.1560638047983919,20.63624465786433,58.82499483596752,2.310468718540589,1.800007177616431,8.377338082725963,0.1524430753660207,25.21968773,4132033.89,169.084340558,732.997839577,169.0642400427211,0.1915891249904238,2.600048883006849,1.953818484441957,-0.3359436540829798,33.12523871344398,-1.989568785150563,-1.513524965785272,-8.377697784242695,2.572307508919037,-0.02623713595112557,-23.77305737763189,169.0642400427211,0.1915891249904141,2.600048883006849,-90.3623557094576,722.8338055317162,-81.43566218676489,147.586168178515,-13.26914120792521,-81.4356621867649,-158.8124221927042,-58.02000389175849,1.344591944145899, 2095.728041,-10.78164946, 13.55486431,-10.78164946, 1505.011404, 3.979959752, 13.55486431, 3.979959752, 3150.432755,77.08068238,2479.997652,45.48951375200574,4.227423357528398,35.42699343045252,9842.4450969249,9842.4027438485,0.08531337523532831,0.4255489866574569,200.0054912789467,-0.1736914012971315,-0.003786472221486495,8.814155315859034e-05,0.9847928472397742,0.08442862635238717,0.9659169211528226,-0.01748555836419036,-0.2440708170420901,0.08442951624449942,0.9659169848994985,-0.01748203658952655,-0.2440705092100728,0.88108570115057,0.06492174600748,59.469156459474,59.637201900052,17.913268687705,10094490.70027396,3263094.73511821,17988009.90950081,10094514.49477246,3263021.125138842,17988009.90950081,0.00041780574199439,9842.4027438485,-3.2462303672678e-09,3.49375434,0.691790819,3.50060608,22312796.1,200.584729,3.50060608,0.0068517383,0,1,0.0068517383,0,-0.00148899929,-0.0475160531,0.348,0,-0.0759591001,-0.18989775,-0.161732928,0,0,0,-1,0.558282597,0,200.020224,-200.020224,360,30,0.5235,0.0265666065,0.0250776072,0,0,0,-100,-9.89172401,-0.457595498,0.886996447,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,104750,190.454,1.29953,23.0202,363.614,0.295247,2.48298,353.047,2754.77,129.999,129.999,59.4691555154079126,17.9132700322088816,20883367.5705537573,1.80000717761643125
0.1999992,3.863687720241335,12.49504529765572,0.4202330319612761,20.65326508152128,22.18324767910752,2.947987937411392,3.861797574599586,12.49574586803967,0.4165734071110213,25.29013922,4137807.705,169.319928604,732.95842455,169.2142718777027,0.1439879671046533,5.978936598793396,0.9942920237733774,-0.6375201535460948,33.66067782655114,3.471731109789028,0.128493824123546,1.825169908287616,3.129748104635837,-0.02318118974184871,-35.4084214325347,169.2142718777027,0.1439879671046436,5.978936598793397,-90.28556500774492,722.7662732897053,-81.76480333962246,147.6681317606173,-13.33709187379198,-81.76480333962243,-159.0280828380317,-58.10979597992824,1.599594485920192, 2095.722307,-10.78164495, 13.55488987,-10.78164495,  1505.01101, 3.980002802, 13.55488987, 3.980002802, 3150.427263,77.08062114,2479.995681,45.48951175735549,4.227426716332336,35.42697438324053,9842.2880898044,9842.2457373322,0.3605126755891923,1.482595083443382,200.0366062967227,-0.1739072627944673,-0.0132876391722121,0.0008471609427425653,0.9846720189539775,0.08232841113710346,0.9683227992666854,-0.01751874053542873,-0.2350873941112597,0.08233012541237034,0.9683229269891001,-0.01751167944199812,-0.235086793759169,2.0236199669795,0.048723761450393,59.46911285652,59.637158440522,17.913237328777,10094481.66334042,3263167.013453508,17988001.74095295,10094529.25285477,3263019.793453051,17988001.74095295,0.00083561148398878,9842.2457373322,0,3.4942974,0.691795025,3.50060562,22312779.1,200.584702,3.50060562,0.00630821127,0,1,0.00630821127,0,-0.00629213318,-0.174,0.348,0,-0.238430278,-0.596075695,-0.571787,0,0,0,-1,1.41340467,0,200.051341,-200.051341,360,30,0.5235,0.0508022737,0.0445101405,0,0,0,-100,-18.4666748,-0.854299682,0.745294804,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,95485.5,173.61,1.29953,21.3882,327.788,0.232164,7.10329,359.107,2782.99,129.998,129.998,59.4691119257979821,17.9132386749719537,20883367.4661956578,3.86179757459958584
0.2999988,5.909537168995167,13.47122805984631,0.7261969838238493,19.97717489962924,-2.742937005223555,3.114929006085364,5.907732257878157,13.4718995162369,0.7224891885719873,25.34664144,4142432.503,169.508633802,732.890673851,169.2690733800869,0.07598717432480484,9.008438065682427,0.1622874493408191,-0.7380204002522774,26.36868878361396,7.871877571095176,1.312728576225345,11.0030274149219,3.849998920936132,-0.01640548355410624,-45.56758060665035,169.2690733800869,0.07598717432479508,9.008438065682428,-89.70501429226584,722.8441042702701,-81.10580219428928,148.2538576191239,-13.25969399558304,-81.10580219428925,-159.1964325464538,-58.21623047541487,0.7370936866574294, 2095.716979,-10.78164076, 13.55491363,-10.78164076, 1505.010644, 3.980042805, 13.55491363, 3.980042805, 3150.422159,77.08056422,2479.99385,45.48950990360292,4.227429837877779,35.42695668148153,9842.1627180502,9842.1203660444,0.8438120320100062,2.797287852587669,200.1060221467488,-0.1743255522385944,-0.02531811222908341,0.002987749567481633,0.9843579980791473,0.07857555744546287,0.9712855396674746,-0.0180282007176236,-0.2238420563341092,0.07857800585399358,0.9712857368041514,-0.01801757667026206,-0.2238411968511549,3.0463864385018,0.025684500158504,59.469069200077,59.637114927424,17.913205917417,10094472.66016947,3263239.292693477,17987993.58978934,10094544.04521704,3263018.462629463,17987993.58978934,0.0012534172259832,9842.1203660444,0,3.49550894,0.691798383,3.50060515,22312762.2,200.584675,3.50060515,0.00509620775,0,1,0.00509620775,0,-0.0147272982,-0.174,0.348,0,-0.274219051,-0.685547626,-0.676711576,0,0,0,-1,2.4527735,0,200.120762,-200.120762,360,30,0.5235,0.0738559565,0.0591286582,0,0,0,-100,-26.2256097,-1.21326747,-0.476173782,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,86324.1,156.953,1.29953,19.9099,295.788,0.14088,11.7566,360.076,2786.5,129.997,129.997,59.4690682868211553,17.9132072619186218,20883367.3957211375,5.90773225787815814
0.3999984,7.817687535883327,12.51836531630951,1.029592621107006,17.74849889558117,-15.55552686776034,2.878753582155167,7.815969220047031,12.51899511397129,1.025836685930988,25.38214841,4145332.669,169.627339767,732.774997243,169.2595319865428,0.007553389882914985,11.1644601806283,-0.2714617443799723,-0.6478462042649713,16.45009997983135,10.47159875072158,1.755662295198526,17.69525371582986,4.474169193487453,-0.008702091872300715,-52.62322434160716,169.2595319865428,0.007553389882905217,11.16446018062831,-88.77210607521313,723.0042340964194,-79.64663989444189,149.1919454290595,-13.10002172134328,-79.64663989444186,-159.2714478008667,-58.35275601374979,-0.9980869188676458, 2095.712056,-10.78163689, 13.55493557,-10.78163689, 1505.010306, 3.980079757, 13.55493557, 3.980079757, 3150.417443,77.08051164,2479.992158,45.4895081910627,4.227432721634856,35.42694032818036,9842.1698617786,9842.127509674,1.53096293933059,4.10965275632347,200.2196731330194,-0.1749356261172408,-0.03763952728421542,0.006850468294158338,0.9838362992820199,0.07317837635467209,0.9742245928126948,-0.01918532713441091,-0.2125165669207428,0.07318147572498275,0.9742248725111913,-0.0191711188736711,-0.2125154996521391,3.7737972808199,0.0025513420303848,59.469025510345,59.637071380081,17.913174441171,10094463.7341883,3263311.584454415,17987985.54662517,10094558.91528681,3263017.144282364,17987985.54662517,0.0016712229679776,9842.127509674,0,3.49749252,0.691798192,3.50060468,22312745.2,200.584648,3.50060468,0.00311215431,0,1,0.00311215431,0,-0.026720344,-0.174,0.348,0,-0.307827973,-0.769569932,-0.761552956,0,0,0,-1,3.63919994,0,200.234422,-200.234422,360,30,0.5235,0.0957853006,0.0690649566,0,0,0,-100,-33.2461831,-1.53805624,-2.53614316,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,77661.1,141.202,1.29953,18.5736,267.177,0.0505498,15.2825,357.874,2774.27,129.996,129.996,59.4690246158062976,17.9131757784154715,20883367.4588456936,7.81596922004703121
0.499998,9.440075875412962,10.75553469316747,1.296416161060745,14.25804442440266,-18.59017095639821,2.383092484037015,9.438436164688044,10.75611122043317,1.292616783676885,25.39537263,4146403.804,169.672082215,732.593554863,169.22129274271,-0.04532446860794437,12.35991551390382,-0.4512552639078207,-0.4296803367095476,7.384425021117625,11.35153151747637,1.479310437640057,21.63273925519454,4.830963439934939,-0.002404822094430483,-56.4118018490154,169.22129274271,-0.04532446860795415,12.35991551390383,-87.66750184218782,723.1714806686324,-77.65780897784319,150.3017330880975,-12.93326017705334,-77.65780897784316,-159.2215749913323,-58.53534526324293,-3.273972437994196, 2095.707522,-10.78163333, 13.55495579,-10.78163333, 1505.009994, 3.980113795, 13.55495579, 3.980113795,   3150.4131,77.08046321,2479.9906,45.48950661357933,4.22743537796889,35.426925264557,9842.3803355098,9842.3379824216,2.402813289165626,5.278810345774546,200.3754810139466,-0.1756973625455143,-0.04901858689723199,0.01247122902554185,0.9831439789673438,0.06627907048441804,0.9768516872053077,-0.0210058764458801,-0.2023032851305323,0.06628275850570216,0.9768520699846189,-0.02098806822652107,-0.2023020768152385,4.1774629727919,-0.015305410040859,59.468981818316,59.637027828818,17.913142879493,10094454.91152291,3263383.893185982,17987977.67816649,10094573.88919054,3263015.842858766,17987977.67816649,0.0020890287099719,9842.3379824216,3.246230454087e-09,3.50021188,0.691792554,3.50060421,22312728.2,200.584621,3.50060421,0.000392322579,0,1,0.000392322579,0,-0.0419370032,-0.174,0.348,0,-0.33664003,-0.841600074,-0.835005616,0,0,0,-1,4.90861136,0,200.390241,-200.390241,360,30,0.5235,0.116645141,0.0747081375,0,0,0,-100,-39.5986595,-1.8318719,-5.10584433,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,69682.5,126.696,1.29953,17.3674,241.576,-0.0152113,17.3196,353.691,2752.41,129.995,129.995,59.4689809420597513,17.9131442030921555,20883367.7256638557,9.43843616468804214
0.5999976,10.68258704141005,8.997853803954404,1.507459023189623,10.2366837086566,-15.66888557830201,1.784085685299364,10.6810148084775,8.998367306832415,1.503622266505318,25.38738273,4145733.022,169.646591486,732.333660522,169.1651596988528,-0.07265630069656481,12.7714317168985,-0.6574151677415738,-0.134756627917799,0.9161782118805668,10.94749279223698,0.6827308092769586,23.29664970381045,4.861221664986609,0.0009382239264004673,-57.60108041123429,169.1651596988529,-0.07265630069657461,12.77143171689851,-86.54398911631316,723.2830336440583,-75.3948375200348,151.4304302909526,-12.82221744474479,-75.39483752003477,-159.0338651936867,-58.77676689429798,-5.786829700746889, 2095.703349,-10.78163005, 13.55497439,-10.78163005, 1505.009708, 3.980145116, 13.55497439, 3.980145116, 3150.409103,77.08041864,2479.989166,45.48950516197328,4.227437822337332,35.42691140295485,9842.8324660249,9842.7901109278,3.426358583059868,6.263132011605594,200.5660827695118,-0.1765577909684957,-0.05905627317909423,0.01962453785338167,0.9823210170614096,0.05814049091941436,0.9790845636460459,-0.02339128139160057,-0.1935612267489027,0.05814472530073918,0.9790850751254602,-0.02336986267998176,-0.1935599548062363,4.3174587783326,-0.024538656955816,59.468938160728,59.636984309946,17.913111203807,10094446.20133338,3263456.21629097,17987970.02419467,10094588.97608854,3263014.555758791,17987970.02419467,0.0025068344519663,9842.7901109278,0,3.50353851,0.691780442,3.50060373,22312711.2,200.584594,3.50060373,-0.00293477917,0,1,-0.00293477917,0,-0.0598012386,-0.174,0.348,0,-0.358908678,-0.897271696,-0.892408067,0,0,0,-1,6.19915283,0,200.580857,-200.580857,360,30,0.5235,0.136487637,0.0766863983,0,0,0,-100,-45.3466168,-2.09761388,-7.88444358,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,62420.9,113.492,1.29953,16.2802,218.697,-0.0422138,17.8925,345.243,2722.77,129.995,129.995,59.4689373016773644,17.9131125077422553,20883368.2341124006,10.6810148084774976
0.6999972,11.52638071717991,7.665148556518409,1.660156595609774,6.400456823197859,-10.41428193689475,1.240600317004469,11.52486590701365,7.665591659737645,1.656288092908236,25.36006068,4143472.792,169.557155637,731.988759428,169.0825607614686,-0.06803400957889938,12.67722546868264,-0.9977931999134477,0.2137918499320319,-2.6721011275066,9.819183722446313,-0.3997741236635726,23.44890423830944,4.669438835819848,0.0004292999616092311,-57.14563242863822,169.0825607614686,-0.06803400957890918,12.67722546868265,-85.50141849030697,723.2987206674976,-73.04801192619715,152.4781826088063,-12.80706093573603,-73.04801192619711,-158.7118618197512,-59.08452846964687,-8.318199390112541, 2095.699512,-10.78162703, 13.55499149,-10.78162703, 1505.009444, 3.980173916, 13.55499149, 3.980173916, 3150.405428,77.08037765,2479.987848,45.48950382720614,4.227440069959967,35.42689865706505,9843.5382183641,9843.4958601573,4.561781908250786,7.084484086202448,200.7831297026063,-0.1774685074577191,-0.0678877987447126,0.02793548875739201,0.9813846259801569,0.04908791156879311,0.9809520492670794,-0.02619031729555254,-0.1861115828111994,0.04909266154853132,0.980952717384735,-0.02616528113413565,-0.1861103299141585,4.2878167158996,-0.022989662112257,59.468894575329,59.636940860992,17.913079380088,10094437.6000459,3263528.545994974,17987962.6019701,10094604.17240694,3263013.275205748,17987962.6019701,0.0029246401939607,9843.4958601573,3.2462304974629e-09,3.5073267,0.691761537,3.50060326,22312694.2,200.584567,3.50060326,-0.0067234395,0,1,-0.0067234395,0,-0.0796181141,-0.174,0.348,0,-0.374199034,-0.935497585,-0.932347369,0,0,0,-1,7.46705181,0,200.79792,-200.79792,360,30,0.5235,0.155362406,0.0757442916,0,0,0,-100,-50.5475827,-2.33791134,-10.6561107,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,55841.4,101.53,1.29953,15.3019,198.325,-0.022607,17.4383,333.615,2685.39,129.994,129.994,59.4688937324800264,17.9130806594521275,20883368.9959696904,11.5248659070136501
0.7999968,12.0139542454315,6.865899538875401,1.764552309372742,3.21983638954773,-5.307178341912856,0.8410516179525057,12.01248981062841,6.866267288957834,1.7606566073771,25.31504926,4139755.14,169.409150354,731.557359821,168.9590755859361,-0.02646387715853837,12.3405956232121,-1.474845134166964,0.6077930346877882,-3.938068204808253,8.403621095888811,-1.581939660713624,22.83759210466878,4.367969843493464,-0.004473263674199616,-55.9177762479282,168.9590755859361,-0.02646387715854815,12.3405956232121,-84.58929817342162,723.1999096769059,-70.72985215759849,153.3954778698122,-12.90641725587432,-70.72985215759851,-158.2668479938042,-59.46112511534857,-10.74428451082108, 2095.695985,-10.78162426, 13.55500721,-10.78162426, 1505.009202, 3.980200392, 13.55500721, 3.980200392, 3150.402049,77.08033998,2479.986635,45.48950260011873,4.227442136260085,35.42688693942477,9844.492514465,9844.4501520818,5.770228339251122,7.791777894013026,201.0206803207633,-0.1783982985807404,-0.07587932987869501,0.03699650485273136,0.9803303693089076,0.03944661566606159,0.9825233281155353,-0.02925353243824209,-0.1795441590839176,0.03945185265495478,0.9825241809746512,-0.02922487384804139,-0.1795430084151116,4.1774064524657,-0.0089503339916378,59.468851097437,59.636897517201,17.913047371636,10094429.09672842,3263600.871624175,17987955.41362534,10094619.46721319,3263011.990524067,17987955.41362534,0.0033424459359551,9844.4501520818,3.246230519081e-09,3.51147274,0.691735975,3.50060278,22312677.2,200.584539,3.50060278,-0.0108699606,0,1,-0.0108699606,0,-0.100709483,-0.174,0.348,0,-0.383180886,-0.957952216,-0.956264847,0,0,0,-1,8.69015156,0,201.035488,-201.035488,360,30,0.5235,0.173316643,0.0726071601,0,0,0,-100,-55.2536104,-2.55515127,-13.2994358,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,49939.9,90.7997,1.29953,14.4232,180.215,0.0471393,16.4332,319.757,2642.49,129.993,129.993,59.4688502701949986,17.9130486228770174,20883370.0060732029,12.0124898106284075
0.8999964,12.22143987810326,6.521497693055391,1.836754982030243,0.8768990840410634,-1.524470590880147,0.6088813160815385,12.220022008205,6.521787244954143,1.832835529504184,25.25353344,4134673.825,169.206347468,731.040656128,168.783663957771,0.05626889979913585,11.95239048758371,-2.038401503583086,1.037376634696036,-3.738749964322089,6.973903623874463,-2.754615062690752,22.01899303369862,4.041221167177503,-0.01415541614836647,-54.53683419339669,168.783663957771,0.05626889979912609,11.95239048758372,-83.82096284922387,722.982722038808,-68.48701141000633,154.1689777753391,-13.12416029310842,-68.48701141000637,-157.7104273316035,-59.90614059987126,-13.01781290686007,  2095.69274,-10.78162171, 13.55502168,-10.78162171, 1505.008979, 3.980224749, 13.55502168, 3.980224749, 3150.398941,77.08030532,2479.98552,45.48950147126626,4.227444037141759,35.42687615984462,9845.6819389574,9845.6395713841,7.019211049258534,8.435231475866182,201.2763205036445,-0.1793360246300397,-0.08341543048826332,0.0464494545660035,0.9791439651026157,0.02949677597968932,0.9838679899725777,-0.03246413147245933,-0.1734352867263836,0.02950246713629409,0.98386905473342,-0.03243184643075266,-0.1734343187144076,4.0506303232442,0.019053484600273,59.468807759033,59.636854310556,17.9130151413,10094420.6774426,3263673.181444325,17987948.45349731,10094634.84656811,3263010.689978262,17987948.45349731,0.0037602516779495,9845.6395713841,0,3.5159345,0.691704115,3.50060229,22312660.3,200.584511,3.50060229,-0.015332209,0,1,-0.015332209,0,-0.122508344,-0.174,0.348,0,-0.387153219,-0.967883047,-0.967301353,0,0,0,-1,9.86353871,0,201.291147,-201.291147,360,30,0.5235,0.190395245,0.0678869009,0,0,0,-100,-59.5117996,-2.75150095,-15.7693139,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,44688.4,81.2516,1.29953,13.6355,164.144,0.167455,15.2678,304.985,2595.81,129.993,129.993,59.4688069472656693,17.9130163621019136,20883371.2509627007,12.2200220082050013
