Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,-0.0004631985370691429,0.0002686189714467118,13.33484783328607,113.0228525449188,-1.450891607046246,-0.00198453743118474,0.0002591140166692143,-0.003336402417315779,30.06733807,4774109.518,168.781,733.025375055,168.7809999999999,0,0,-2.532107282799304,0.02038199733750495,15.03866234993751,-9.505292115938548,-2.162344239050273,-11.77079712976528,-2.532308028780363,7.126570088538829e-06,-17.16610306314819,168.781,-9.720797132947284e-15,1.577721810442024e-30,-89.90659677416622,723.0601140924907,-80.16904477307123,147.9701831675114,-12.83647593954026,-80.16904477307122,-158.6022602288664,-57.72650181064966,-9.369227615962924e-15, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4000.0172172599,3999.9999999945,-2.34321066405244e-16,3.320759082453676e-15,200,-0.1736481776669302,-2.818375010831667e-17,-7.045937527079168e-18,0.984807753012208,0.08507083308851379,0.9649417595131533,-0.01757342844509268,-0.2476722203194599,0.08507083308851379,0.9649417595131533,-0.01757342844509269,-0.2476722203194599,5.3558635737475e-31,-3.2999013468385e-15,59.4692,59.637292171267,17.9133,10091675.59798537,3262109.551778567,17982985.51980332,10091675.59798537,3262109.551778567,17982985.51980332,0,3999.9999999945,3.2462303222445e-09,3.4936585,0.863370631,3.50060655,22312813,200.584755,3.50060655,0.00694804603,0,1,0.00694804603,0,4.08967412e-18,1.22690223e-16,0.348,0,1.22690223e-16,3.06725559e-16,9.02131449e-17,0,0,0,-1,-2.04483706e-16,0,200.014732,-200.014732,360,30,0.5235,0.00108835324,0.00108835324,0,0,0,-100,-0.414936106,-0.0385890079,-0.0385890079,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,0,0,-0,0,130,130,59.4691990504261554,17.9133013434627095,20877525.0938271545,-0.00198453743118474045
0.0916663,2.243046674605987,10.21000895266681,0.1635060452322884,21.67543687819139,70.71280017587007,2.486536054953721,2.241094424485,10.21072510239597,0.1598822140434736,32.12718746,5399607.383,169.060674555,732.987685133,169.0434378682399,-0.009803583368912072,2.414062656814039,2.483446874252674,-0.3152649931955553,32.71343538519761,1.290202246580147,-0.685081232588014,-3.595240394783747,3.200586103568499,-0.005082576222662069,-29.61496924552588,169.0434378682399,-0.009803583368921795,2.41406265681404,-90.10497984443026,722.8952946981193,-81.08287160283314,147.7769771997615,-13.00171616650705,-81.08287160283317,-158.8617239724042,-57.82423146888686,0.9069688434563612,  2095.72879,-10.78165005, 13.55486097,-10.78165005, 1505.011455, 3.979954135, 13.55486097, 3.979954135, 3150.433473,77.08069038,2479.997909,45.4895140125272,4.227422918834709,35.42699591821061,3999.9615714997,3999.9443544419,0.1006524990846365,0.5107832829161068,200.0058084019737,-0.1736924469869498,-0.004542218962251677,9.075470066731535e-05,0.9847894667745838,0.08431258605825818,0.9661095659902448,-0.01745692821553761,-0.2433494400889132,0.08431347332019988,0.9661096296325327,-0.01745340573848265,-0.2433491326799886,0.81816958977045,-0.0033224991733751,59.46915644104,59.637248754815,17.913268790632,10091666.59140564,3262181.847788919,17982977.44893575,10091690.37924736,3262108.258403219,17982977.44893575,0.00041780574199439,3999.9443544419,-3.2462303438987e-09,3.49375988,0.853845784,3.50060609,22312796.1,200.584729,3.50060609,0.00684620554,0,1,0.00684620554,0,-0.00175671751,-0.0563023378,0.348,0,-0.0922877216,-0.230719304,-0.194587208,0,0,0,-1,0.699974005,0,200.020541,-200.020541,360,30,0.5235,0.0265666065,0.024809889,0,0,0,0.0556455581,-1.51242047,-0.140655278,0.766313565,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,105253,191.369,1.29953,23.0767,365.028,-0.0373741,2.31373,444.473,2752.62,129.999,129.999,59.4691554977680212,17.9132701358652575,20877525.0874962583,2.24109442448499951
0.1916659,4.396340556340385,14.93782534387801,0.443045284201269,21.385873994693,23.11241632954679,3.046541916263537,4.394469994053243,14.93852187008458,0.4393748412541593,32.22849536,5408118.403,169.326800864,732.935384273,169.230392387463,-0.05511317149500528,5.71285793823597,1.214382735975263,-0.6114373686856269,32.16623920312947,7.781886208008395,1.354556074072868,9.338221406717114,3.709134941714015,-0.0009341087513690446,-44.14818501888979,169.230392387463,-0.05511317149501501,5.712857938235971,-89.64477621691026,722.9318293387109,-80.79394621765783,148.2423579786475,-12.96561014405262,-80.79394621765779,-159.107374236501,-57.93294136657664,0.4280877032071508,  2095.72301,-10.78164551, 13.55488674,-10.78164551, 1505.011058, 3.979997521, 13.55488674, 3.979997521, 3150.427936,77.08062864,2479.995923,45.48951200183943,4.227426304644288,35.42697671785417,3999.8825591207,3999.8653423684,0.4245667696475506,1.788404309911312,200.0401565285608,-0.1739139520886191,-0.0160125625948214,0.0009327332469248518,0.9846302174505689,0.08183730125413743,0.9689924346371214,-0.0174424387215735,-0.2324910300869855,0.08183899659650803,0.9689925618031189,-0.01743537274510632,-0.2324904333161792,1.9334493695234,-0.018648862211324,59.469112807879,59.637205264592,17.913237523299,10091657.59850727,3262254.137139588,17982969.34426423,10091705.17470837,3262106.958325874,17982969.34426423,0.00083561148398878,3999.8653423684,0,3.49435937,0.853848483,3.50060562,22312779.1,200.584702,3.50060562,0.00624625201,0,1,0.00624625201,0,-0.00741008802,-0.174,0.348,0,-0.247614396,-0.619035989,-0.606552762,0,0,0,-1,1.6266215,0,200.054892,-200.054892,360,30,0.5235,0.0508022737,0.0433921857,0,0,0,0.134657632,-1.35899736,-0.126387234,0.30170047,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,95167.5,173.032,1.29953,21.5772,331.99,-0.113915,7.62413,440.225,2735.56,129.998,129.998,59.469111880818879,17.9132388709319379,20877525.0623498671,4.39446999405324323
0.2916655,6.4809918393797,15.82088535710209,0.7510003038590354,19.83673066071932,-4.674476507492654,3.03128777298588,6.479222528229824,15.82154909728987,0.7472740067060236,32.29790101,5413936.457,169.509136722,732.852192421,169.2963613514848,-0.1193627478364316,8.489712484133413,0.1779959745913153,-0.6885508028844138,22.90774252562937,12.46121016077975,2.682848471684277,20.29555982610659,4.402946525096285,0.007632556866923228,-55.99934820527834,169.2963613514848,-0.1193627478364414,8.489712484133415,-88.61149870045782,723.1420774861926,-79.28350397821673,149.2808179248534,-12.75581549741885,-79.28350397821673,-159.2521798662154,-58.05264717434684,-1.407407649095253, 2095.717684,-10.78164132, 13.55491048,-10.78164132, 1505.010692,   3.9800375, 13.55491048,   3.9800375, 3150.422835,77.08057176,2479.994093,45.48951014903408,4.227429424594717,35.42695902514023,3999.9215797298,3999.904362785,0.9644913352843324,3.345448816076394,200.1171048803144,-0.1743319749549178,-0.03021010425196565,0.003185723510734493,0.9842182498181572,0.07764762064769334,0.9724269217364264,-0.0179070847004912,-0.2191713147460212,0.07765001796710672,0.9724271175482525,-0.01789644816855288,-0.2191704654132385,2.8708092908891,-0.040345803061329,59.469069120539,59.637161719419,17.91320619486,10091648.6818289,3262326.439436224,17982961.33127144,10091720.04690733,3262105.671150506,17982961.33127144,0.0012534172259832,3999.904362785,0,3.49570237,0.85384715,3.50060515,22312762.1,200.584675,3.50060515,0.00490278327,0,1,0.00490278327,0,-0.0168335494,-0.174,0.348,0,-0.284199261,-0.710498153,-0.701614725,0,0,0,-1,2.73180807,0,200.131846,-200.131846,360,30,0.5235,0.0738559565,0.057022407,0,0,0,0.095637215,-1.21729202,-0.113208444,-1.52061609,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,85892,156.167,1.29953,20.225,302.409,-0.216497,12.6672,433.874,2709.9,129.997,129.997,59.469068214299611,17.9132075415404302,20877525.1575587839,6.47922252822982525
0.3916651,8.317119710819162,14.72853602087619,1.036006420718803,16.32590176312301,-15.77398981134712,2.569008808533331,8.315452382291097,14.72915423379641,1.032225662617671,32.32741056,5416394.101,169.587310987,732.718582111,169.27699225511,-0.1818668376199479,10.25294423417692,-0.5192985989756336,-0.5773652690362485,12.31022203200478,14.51266611785502,3.011634036093689,27.56223464176723,4.861575635397727,0.01677707038830042,-63.30508641405463,169.27699225511,-0.1818668376199577,10.25294423417692,-87.24082280917807,723.4351877337987,-76.85758619185131,150.6566836264696,-12.46319266433438,-76.85758619185134,-159.2332294844521,-58.19731639421034,-4.207973433413834, 2095.712779,-10.78163746, 13.55493234,-10.78163746, 1505.010356, 3.980074321, 13.55493234, 3.980074321, 3150.418136,77.08051936,2479.992407,45.48950844254327,4.227432298165156,35.42694272960577,4000.1962794513,4000.1790612946,1.70864566104851,4.884582688840823,200.2413414706231,-0.1749172795501379,-0.04456305572312802,0.007177630422321713,0.9835479454510171,0.07180957062684871,0.9757513711354217,-0.01901351692155841,-0.2058910718511269,0.07181257336994749,0.9757516483280462,-0.01899928639403973,-0.2058900245461255,3.4661156626983,-0.061444480519512,59.469025416532,59.637118155741,17.913174795689,10091639.88756293,3262398.767740791,17982953.51820175,10091735.0420373,3262104.409936057,17982953.51820175,0.0016712229679776,4000.1790612946,-3.2462304090358e-09,3.49787071,0.853837768,3.50060469,22312745.2,200.584648,3.50060469,0.00273397775,0,1,0.00273397775,0,-0.0298214925,-0.174,0.348,0,-0.316736097,-0.791840243,-0.784316808,0,0,0,-1,3.95383055,0,200.256092,-200.256092,360,30,0.5235,0.0957853006,0.0659638081,0,0,0,-0.179061295,-1.10342465,-0.102616976,-4.31059041,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,77461.8,140.84,1.29953,19.0074,275.953,-0.307891,15.8754,421.168,2677.52,129.996,129.996,59.4690245324092643,17.9131761357956911,20877525.4893832803,8.31545238229109707
0.4916647,9.744031570305843,13.07229050185042,1.263216984347167,11.76115689947847,-16.12221902529034,1.904999536749063,9.742458227519766,13.07285210128807,1.259387427975519,32.31540554,5415356.294,169.557422546,732.518257397,169.1957900559877,-0.2268090797286106,11.06583596389817,-1.078270318970819,-0.3364582917229837,4.109796107151908,14.45418042396129,2.499067300967041,31.30773167158454,4.972073189900099,0.02349965586064628,-66.51011381685434,169.1957900559878,-0.2268090797286204,11.06583596389817,-85.77793641899689,723.7166402490639,-73.88753392670289,152.1247658232247,-12.18226145130021,-73.8875339267029,-159.0118365802791,-58.38147219873834,-7.520576565862761, 2095.708263,-10.78163391, 13.55495247,-10.78163391, 1505.010045, 3.980108218, 13.55495247, 3.980108218,  3150.41381,77.08047113,2479.990855,45.48950687157176,4.227434943533853,35.426927728165,4000.7801354714,4000.7629147771,2.625950758856598,6.276702349636091,200.4089223766178,-0.1756146098465627,-0.05792036910630062,0.0128209245834539,0.9826700176274104,0.06456731802150791,0.9787045011936839,-0.02072572641796992,-0.193749851744922,0.06457085011215045,0.9787048788654922,-0.02070788442146086,-0.1937486746366643,3.741960700106,-0.076641922859844,59.468981747628,59.63707462457,17.913143308446,10091631.23672653,3262471.125477142,17982945.9778798,10091750.18111613,3262103.178102927,17982945.9778798,0.0020890287099719,4000.7629147771,0,3.50079555,0.853817828,3.50060422,22312728.2,200.584622,3.50060422,-0.000191330651,0,1,-0.000191330651,0,-0.0458314867,-0.174,0.348,0,-0.342298178,-0.855745444,-0.850153649,0,0,0,-1,5.21220417,0,200.423685,-200.423685,360,30,0.5235,0.116645141,0.070813654,0,0,0,-0.762914777,-1.04108657,-0.0968153656,-7.61739193,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,69800,126.909,1.29953,17.913,252.399,-0.361877,17.1323,404.691,2637.23,129.995,129.995,59.46898088530709,17.9131446359587301,20877526.1305411495,9.74245822751976398
0.5916643,10.70968572244558,11.64779459645142,1.423382050338719,7.270825819772083,-11.60100999245162,1.260411535417419,10.7081968404481,11.64829104843389,1.41950996184784,32.26562257,5411132.73,169.429306854,732.239528743,169.056796903538,-0.2435263243931072,11.22631447254214,-1.697202165940427,-0.008143004775810425,-0.687364270515598,13.13728370310199,1.47187779467927,32.56829046766613,4.797412386485783,0.02593495696548555,-66.96417295243361,169.0567969035381,-0.2435263243931169,11.22631447254215,-84.39102219255173,723.9182100651742,-70.67749262094176,153.5168782581543,-11.98124149155452,-70.67749262094176,-158.5855505241117,-58.61829721815218,-10.99128824114764, 2095.704107,-10.78163065,   13.554971,-10.78163065,  1505.00976, 3.980139419,   13.554971, 3.980139419, 3150.409829,77.08042673,2479.989427,45.48950542554781,4.22743737850252,35.42691391986738,4001.7055116706,4001.6882869637,3.672820353388449,7.505724906111798,200.6119919883178,-0.1763661935875031,-0.07008479605527929,0.01975742616225302,0.9816275929459137,0.05627877757256413,0.9812531161611391,-0.02289754540038728,-0.1828953898643408,0.05628277862574038,0.9812536168389387,-0.0228760792490734,-0.182894158651547,3.799181543124,-0.082353139793091,59.468938170553,59.637031182188,17.913111707993,10091622.72942412,3262543.507791861,17982938.74863059,10091765.4642487,3262101.970794552,17982938.74863059,0.0025068344519663,4001.6882869637,3.2462304524145e-09,3.50433978,0.853786224,3.50060374,22312711.2,200.584594,3.50060374,-0.00373603634,0,1,-0.00373603634,0,-0.064102808,-0.174,0.348,0,-0.359811153,-0.899527883,-0.895937194,0,0,0,-1,6.44754083,0,200.626769,-200.626769,360,30,0.5235,0.136487637,0.0723848289,0,0,0,-1.68828696,-1.05663853,-0.0982547686,-11.089543,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,62913,114.387,1.29953,16.9316,231.467,-0.363891,16.9942,386.338,2591.54,129.995,129.995,59.4689373293270194,17.9131130177780165,20877527.11302533,10.7081968404481014
0.6916639,11.25990157946817,10.7323593440895,1.525501757479337,3.601402122484835,-6.390126242314034,0.7716156299828816,11.25848983493975,10.73278486990872,1.521592510925569,32.1816763,5404019.48,169.212241979,731.876800814,168.8507746607837,-0.2242190419239449,11.0520793518183,-2.423726416554278,0.3884295143734837,-2.629810230537881,11.28603216145117,0.2239104929496314,32.4887240585733,4.473422706995956,0.02290227429661932,-66.03174771055512,168.8507746607837,-0.2242190419239547,11.05207935181831,-83.1676257939274,724.0039312943603,-67.41739434027011,154.745470951977,-11.89609162472179,-67.41739434027011,-157.9689546437259,-58.91507915015164,-14.40852710113725, 2095.700278,-10.78162764, 13.55498807,-10.78162764, 1505.009497, 3.980168163, 13.55498807, 3.980168163, 3150.406161,77.08038583,2479.988111,45.48950409339542,4.227439621722203,35.42690119894601,4002.9764820598,4002.9592518505,4.804634922234347,8.610268015367716,200.8437003507144,-0.177130634021787,-0.08132574183911265,0.02754079126966224,0.9804347846856508,0.0473188509262925,0.9834559427041389,-0.02536094387959404,-0.1730091258646914,0.04732326650176462,0.9834565896534617,-0.02533584381332678,-0.1730079181224151,3.7449368527148,-0.075921271403805,59.468894739782,59.636987882859,17.913079963652,10091614.35307581,3262615.904652543,17982931.84399636,10091780.87885511,3262100.777976021,17982931.84399636,0.0029246401939607,4002.9592518505,0,3.50838385,0.853742819,3.50060327,22312694.3,200.584567,3.50060327,-0.00778058584,0,1,-0.00778058584,0,-0.0838566987,-0.174,0.348,0,-0.369960178,-0.924900444,-0.923007486,0,0,0,-1,7.63178388,0,200.858495,-200.858495,360,30,0.5235,0.155362406,0.0715057069,0,0,0,-2.95925185,-1.17553127,-0.109299915,-14.517827,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,56777.2,103.231,1.29953,16.0533,212.901,-0.306491,16.1141,367.07,2542.45,129.994,129.994,59.4688939191906769,17.9130812519874461,20877528.4407394454,11.258489834939752
0.7916635,11.49206593290305,10.28598354104569,1.58780085950261,1.005118703069048,-2.506841470213376,0.4813973630117697,11.49072715444316,10.28633476716474,1.583858700715457,32.06620482,5394227.966,168.912785646,731.428865552,168.5686593730403,-0.1627479074048868,10.77542319619599,-3.217507406084428,0.8358226954399468,-2.811463408520812,9.346277958729834,-1.062128103406818,31.92788620644357,4.114081507923297,0.01358387434847972,-64.68247287989738,168.5686593730403,-0.1627479074048965,10.77542319619599,-82.13641662153607,723.9618704689792,-64.19505069708406,155.7818703763252,-11.93873874474028,-64.19505069708401,-157.1797294346619,-59.27434773787109,-17.68087978181419, 2095.696744,-10.78162486, 13.55500383,-10.78162486, 1505.009254, 3.980194689, 13.55500383, 3.980194689, 3150.402776,77.08034808,2479.986896,45.48950286411458,4.22744169171582,35.42688946036048,4004.5823089667,4004.5650718221,5.984219228515088,9.640517556149296,201.1004294941999,-0.177888795173933,-0.09202059951486541,0.03576979795663461,0.9790854443666459,0.03800813072226999,0.9853855108919095,-0.0279794272025453,-0.1636701823079159,0.03801290469417062,0.985386326586269,-0.02795068512775671,-0.1636690736040853,3.6575447490443,-0.055204640820813,59.468851504983,59.636944776175,17.913048042185,10091606.08952617,3262688.303725959,17982925.26387592,10091796.40677956,3262099.58731229,17982925.26387592,0.0033424459359551,4004.5650718221,0,3.51286462,0.853687981,3.50060279,22312677.4,200.58454,3.50060279,-0.0122618345,0,1,-0.0122618345,0,-0.104444329,-0.174,0.348,0,-0.374402758,-0.936006894,-0.935352326,0,0,0,-1,8.76157849,0,201.115243,-201.115243,360,30,0.5235,0.173316643,0.0688723146,0,0,0,-4.56507182,-1.42036998,-0.132048848,-17.8129286,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,51347.9,93.3598,1.29953,15.2691,196.467,-0.187192,14.9866,347.599,2491.48,129.993,129.993,59.4688507049906434,17.9130493067114358,20877530.1028569937,11.4907271544431637
0.8916631,11.51077297729171,10.14696887304395,1.629615511636485,-0.6235493392342436,-0.3696417137739728,0.3711056079280001,11.50950555198778,10.1472442310403,1.625643847687041,31.92093765,5381890.689,168.534998704,730.896690644,168.2061990443625,-0.05510194368690691,10.52223146468405,-4.02850171498634,1.308562737610245,-2.225320334536896,7.513706968118999,-2.305176282751122,31.36173401464439,3.779768855295357,-0.002497637111316263,-63.4271361607292,168.2061990443625,-0.05510194368691658,10.52223146468406,-81.2946859542996,723.7929848093135,-61.03164400911858,156.6287815865105,-12.1082202012395,-61.03164400911858,-156.2310589546439,-59.69601927382795,-20.7915196400262, 2095.693476,-10.78162229,  13.5550184,-10.78162229,  1505.00903, 3.980219224,  13.5550184, 3.980219224, 3150.399645,77.08031318,2479.985773,45.48950172715251,4.227443606253309,35.42687860334053,4006.5072343722,4006.4899889163,7.185173282325634,10.63577930418292,201.3814974625672,-0.1786397634993578,-0.1024679677068316,0.04414936808914838,0.9775678921631243,0.02858234682857558,0.9870957606771001,-0.03066537359966547,-0.1545465740968107,0.02858741816416096,0.987096766411069,-0.03063298264161267,-0.1545456361014357,3.5795048179212,-0.018732660259,59.468808511458,59.636901907417,17.913015909785,10091597.91953107,3262760.692215187,17982919.00304032,10091812.02877712,3262098.386005227,17982919.00304032,0.0037602516779495,4006.4899889163,3.2462305168913e-09,3.51777018,0.85362225,3.5006023,22312660.6,200.584512,3.5006023,-0.0171678807,0,1,-0.0171678807,0,-0.125404931,-0.174,0.348,0,-0.374976535,-0.937441337,-0.937583976,0,0,0,-1,9.84638951,0,201.396332,-201.396332,360,30,0.5235,0.190395245,0.0649903135,0,0,0,-6.48998892,-1.81028547,-0.168274089,-20.9597937,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,46569.7,84.6721,1.29953,14.5705,181.953,-0.00857368,13.8864,328.431,2439.76,129.993,129.993,59.4688077323719213,17.9130171491680699,20877532.083552476,11.5095055519877825
